ObjectID,RevisitID,Reporter,OccStatus,Status,RevisitDate,DateEnt,DateUp,Location,Latitude,Longitude,Datum,CoordAcc,Abundance,InfestAcre,GrossAcre,PercentCov,Density,Quantity,QuantityU,APPXQuant,NumCollect,Incidence,Severity,ManageStat,PopStat,RecBasis,UUID,RecSrcTyp,VisitType,PlantTreat,TreatComm,Comments,ReviewDate,Reviewer,VerifyMthd,Verified,IDCred,ReviewComm
"8706575","9424796","Douglas Cygan New Hampshire Department of Agriculture, Markets & Food",Detected,Treated,12-07-20,12-07-20,12-07-20,"Merrimack, New Hampshire, United States","  43.19660"," -71.53014",,,,,,,,,,,,,,,,,,Unknown,Treatment,,,,,,,Not Verified,,
"8706576","9424795","Douglas Cygan New Hampshire Department of Agriculture, Markets & Food",Detected,Treated,12-07-20,12-07-20,12-07-20,"Merrimack, New Hampshire, United States","  43.19624"," -71.52789",,,,,,,,,,,,,,,,,,Unknown,Treatment,,,,,,,Not Verified,,
"8706581","9424800","Douglas Cygan New Hampshire Department of Agriculture, Markets & Food",Detected,Treated,12-07-20,12-07-20,12-07-20,"Merrimack, New Hampshire, United States","  43.19645"," -71.53024",,,,,,,,,,,,,,,,,,Unknown,Treatment,,,,,,,Not Verified,,
"8706587","9424801","Douglas Cygan New Hampshire Department of Agriculture, Markets & Food",Detected,Treated,12-07-20,12-07-20,12-07-20,"Merrimack, New Hampshire, United States","  43.19642"," -71.53026",,,,,,,,,,,,,,,,,,Unknown,Treatment,,,,,,,Not Verified,,
"8705990","10684242","Douglas Cygan New Hampshire Department of Agriculture, Markets & Food",Undetected,Eradicated,09-19-22,09-19-22,,"Rockingham, New Hampshire, United States","  43.05666"," -70.73139",WGS84,,,,,,Low,,,,,,,,,Human Observation,,Web Report,Treatment,,,,,,,Verified,,
"10634833","10684250","Douglas Cygan New Hampshire Department of Agriculture, Markets & Food",Undetected,Eradicated,09-19-22,09-19-22,,"Rockingham, New Hampshire, United States","  43.05003"," -70.72469",WGS84,,,0,,,Low,,,,,,,,,Human Observation,,Web Report,Treatment,,,,,,,Verified,,
"10634835","10684251","Douglas Cygan New Hampshire Department of Agriculture, Markets & Food",Undetected,Eradicated,09-19-22,09-19-22,,"Rockingham, New Hampshire, United States","  43.05003"," -70.72469",WGS84,,,0,,,Low,,,,,,,,,Human Observation,,Web Report,Treatment,,,,,,,Verified,,
"10634836","10684252","Douglas Cygan New Hampshire Department of Agriculture, Markets & Food",Undetected,Eradicated,09-19-22,09-19-22,,"Rockingham, New Hampshire, United States","  43.05003"," -70.72469",WGS84,,,0,,,Low,,,,,,,,,Human Observation,,Web Report,Treatment,,,,,,,Verified,,
"10634837","10684258","Douglas Cygan New Hampshire Department of Agriculture, Markets & Food",Undetected,Eradicated,09-19-22,09-19-22,,"Rockingham, New Hampshire, United States","  43.04994"," -70.72474",WGS84,,,0,,,Low,,,,,,,,,Human Observation,,Web Report,Treatment,,,,,,,Verified,,
"10634838","10684259","Douglas Cygan New Hampshire Department of Agriculture, Markets & Food",Undetected,Eradicated,09-19-22,09-19-22,,"Rockingham, New Hampshire, United States","  43.04994"," -70.72474",WGS84,,,0,,,Low,,,,,,,,,Human Observation,,Web Report,Treatment,,,,,,,Verified,,
"10634839","10684260","Douglas Cygan New Hampshire Department of Agriculture, Markets & Food",Undetected,Eradicated,09-19-22,09-19-22,,"Rockingham, New Hampshire, United States","  43.04994"," -70.72474",WGS84,,,0,,,Low,,,,,,,,,Human Observation,,Web Report,Treatment,,,,,,,Verified,,
"10634840","10684261","Douglas Cygan New Hampshire Department of Agriculture, Markets & Food",Undetected,Eradicated,09-19-22,09-19-22,,"Rockingham, New Hampshire, United States","  43.04994"," -70.72474",WGS84,,,0,,,Low,,,,,,,,,Human Observation,,Web Report,Treatment,,,,,,,Verified,,
"10634841","10684262","Douglas Cygan New Hampshire Department of Agriculture, Markets & Food",Undetected,Eradicated,09-19-22,09-19-22,,"Rockingham, New Hampshire, United States","  43.04994"," -70.72474",WGS84,,,0,,,Low,,,,,,,,,Human Observation,,Web Report,Treatment,,,,,,,Verified,,
"10634842","10684263","Douglas Cygan New Hampshire Department of Agriculture, Markets & Food",Undetected,Eradicated,09-19-22,09-19-22,,"Rockingham, New Hampshire, United States","  43.04994"," -70.72474",WGS84,,,0,,,Low,,,,,,,,,Human Observation,,Web Report,Treatment,,,,,,,Verified,,
"10634843","10684264","Douglas Cygan New Hampshire Department of Agriculture, Markets & Food",Undetected,Eradicated,09-19-22,09-19-22,,"Rockingham, New Hampshire, United States","  43.04994"," -70.72474",WGS84,,,0,,,Low,,,,,,,,,Human Observation,,Web Report,Treatment,,,,,,,Verified,,
"10634844","10684265","Douglas Cygan New Hampshire Department of Agriculture, Markets & Food",Undetected,Eradicated,09-19-22,09-19-22,,"Rockingham, New Hampshire, United States","  43.04994"," -70.72474",WGS84,,,0,,,Low,,,,,,,,,Human Observation,,Web Report,Treatment,,,,,,,Verified,,
"10635280","10684266","Douglas Cygan New Hampshire Department of Agriculture, Markets & Food",Undetected,Eradicated,09-19-22,09-19-22,,"Rockingham, New Hampshire, United States","  43.04994"," -70.72474",WGS84,,,0,,,Low,,,,,,,,,Human Observation,,Web Report,Treatment,,,,,,,Verified,,
"10635281","10684253","Douglas Cygan New Hampshire Department of Agriculture, Markets & Food",Undetected,Eradicated,09-19-22,09-19-22,,"Rockingham, New Hampshire, United States","  43.04994"," -70.72488",WGS84,,,0,,,Low,,,,,,,,,Human Observation,,Web Report,Treatment,,,,,,,Verified,,
"10635282","10684255","Douglas Cygan New Hampshire Department of Agriculture, Markets & Food",Undetected,Eradicated,09-19-22,09-19-22,,"Rockingham, New Hampshire, United States","  43.04994"," -70.72488",WGS84,,,0,,,Low,,,,,,,,,Human Observation,,Web Report,Treatment,,,,,,,Verified,,
"10635283","10684256","Douglas Cygan New Hampshire Department of Agriculture, Markets & Food",Undetected,Eradicated,09-19-22,09-19-22,,"Rockingham, New Hampshire, United States","  43.04994"," -70.72488",WGS84,,,0,,,Low,,,,,,,,,Human Observation,,Web Report,Treatment,,,,,,,Verified,,
"10635284","10684257","Douglas Cygan New Hampshire Department of Agriculture, Markets & Food",Undetected,Eradicated,09-19-22,09-19-22,,"Rockingham, New Hampshire, United States","  43.04994"," -70.72488",WGS84,,,0,,,Low,,,,,,,,,Human Observation,,Web Report,Treatment,,,,,,,Verified,,
"10635287","10684246","Douglas Cygan New Hampshire Department of Agriculture, Markets & Food",Undetected,Eradicated,09-19-22,09-19-22,,"Rockingham, New Hampshire, United States","  43.05013"," -70.72491",WGS84,,,0,,,Low,,,,,,,,,Human Observation,,Web Report,Treatment,,,,,,,Verified,,
"10635288","10684247","Douglas Cygan New Hampshire Department of Agriculture, Markets & Food",Undetected,Eradicated,09-19-22,09-19-22,,"Rockingham, New Hampshire, United States","  43.05013"," -70.72491",WGS84,,,0,,,Low,,,,,,,,,Human Observation,,Web Report,Treatment,,,,,,,Verified,,
"10635289","10684248","Douglas Cygan New Hampshire Department of Agriculture, Markets & Food",Undetected,Eradicated,09-19-22,09-19-22,,"Rockingham, New Hampshire, United States","  43.05004"," -70.72496",WGS84,,,0,,,Low,,,,,,,,,Human Observation,,Web Report,Treatment,,,,,,,Verified,,
"10635301","10684249","Douglas Cygan New Hampshire Department of Agriculture, Markets & Food",Undetected,Eradicated,09-19-22,09-19-22,,"Rockingham, New Hampshire, United States","  43.05004"," -70.72496",WGS84,,,0,,,Low,,,,,,,,,Human Observation,,Web Report,Treatment,,,,,,,Verified,,
"9623907","10684245","Douglas Cygan New Hampshire Department of Agriculture, Markets & Food",Undetected,Eradicated,09-19-22,09-19-22,,"Rockingham, New Hampshire, United States","  43.04998"," -70.72459",WGS84,,,,,,Low,,,,,,,,,Human Observation,,Web Report,Treatment,,,,,,,Verified,,
"10738701","10738739",Wendy DesCamp Washington State Department of Agriculture,Detected,Positive,11-08-22,11-08-22,,"King, Washington, United States",,,WGS84,,,0,,,Low,,,,,,,Unknown,,Human Observation,,Web Report,Monitoring,,,"single large tree in front of house. homeowner may be attached to it (it's been pruned off the roof a couple of times instead of being removed), but we've told her about its noxious qualities.",,,,Verified,,
"9436115","10692694",Tricia Bethke The Morton Arboretum,Detected,Positive,09-29-22,09-30-22,,"Will, Illinois, United States","  41.32023"," -88.15204",WGS84,,,19.38,,,5-25%,,,,,,,,,,,iPhone,Monitoring,,,,,,,Verified,,
"9443500","11461687",Tricia Bethke The Morton Arboretum,Detected,Positive,06-27-23,07-21-23,,"Champaign, Illinois, United States","  40.09809"," -88.24386",WGS84,,,0,,,1-5%,,,,,,,,,,,iPhone,Monitoring/Evaluation,,,,,,,Verified,,
"9443500","9476367",Tricia Bethke The Morton Arboretum,Detected,Positive,08-05-21,08-05-21,,"Champaign, Illinois, United States","  40.09809"," -88.24386",WGS84,,,,,,5-25%,,,,,,,,,,,iPhone,,,,,,,,Verified,,
"9436101","10692693",Tricia Bethke The Morton Arboretum,Detected,Positive,09-29-22,09-30-22,,"Will, Illinois, United States","  41.32023"," -88.15204",WGS84,,,19.38,,,,,,,,,,,,,,iPhone,,,,,,,,Verified,,
"8628705","9449335",Tricia Bethke The Morton Arboretum,Detected,Positive,07-16-21,07-20-21,,"Cook, Illinois, United States","  41.98865"," -87.72261",WGS84,,,,,,5-25%,,,,,,,,,,,iPhone,Monitoring,,,,,,,Verified,,
"8774174","10684135",Tricia Bethke The Morton Arboretum,Detected,Positive,09-07-22,09-18-22,,"Winnebago, Illinois, United States","  42.34463"," -88.96154",WGS84,,,,,,,,,,,,,Unknown,,Human Observation,,iPhone,,,,,,,,Not Verified,,
"8628613","9464589",Tricia Bethke The Morton Arboretum,Detected,Positive,07-29-21,07-29-21,,"Madison, Illinois, United States","  38.78968"," -90.00294",WGS84,,,,,,<5%,,,,,,,,,,,iPhone,Monitoring,,,,,,,Verified,,
"9306237","11357955",Tricia Bethke The Morton Arboretum,Detected,Positive,05-29-23,05-29-23,,"DuPage, Illinois, United States","  41.78877"," -88.07804",WGS84,,,195753,,,1-5%,,,,,,,,,,,iPhone,Monitoring/Evaluation,,,,,,,Verified,,
"9436108","11336508",Tricia Bethke The Morton Arboretum,Detected,Positive,01-09-23,04-25-23,,"DuPage, Illinois, United States","  41.78227"," -88.11491",WGS84,,,0,,,0%,,,,,,,,,,,iPhone,,,,,,,,Verified,,
"9443501","11461686",Tricia Bethke The Morton Arboretum,Detected,Positive,06-27-23,07-21-23,,"Champaign, Illinois, United States","  40.09823"," -88.24226",WGS84,,,43782,,,,,,,,,,,,,,iPhone,,,,,,,,Verified,,
"9449338","9460474",Tricia Bethke The Morton Arboretum,Detected,Positive,07-27-21,07-27-21,,"DuPage, Illinois, United States","  41.79609"," -88.08060",WGS84,,,,,,5-25%,,,,,,,,,,,iPhone,Monitoring,,,,,,,Verified,,
"9449338","9549660",Tricia Bethke The Morton Arboretum,Detected,Positive,10-05-21,10-06-21,,"DuPage, Illinois, United States","  41.79609"," -88.08060",WGS84,,,,,,5-25%,,,,,,,,,,,iPhone,,,,,,,,Verified,,
"9460473","9549658",Tricia Bethke The Morton Arboretum,Detected,Positive,10-05-21,10-06-21,,"DuPage, Illinois, United States","  41.79566"," -88.07994",WGS84,,,0.23,,,,,,,,,,,,,,iPhone,Monitoring,,,,,,,Verified,,
"9480088","10684141",Tricia Bethke The Morton Arboretum,Detected,Positive,09-18-22,09-18-22,,"Jo Daviess, Illinois, United States","  42.41649"," -90.42871",WGS84,,,,,,<5%,,,,,,,,,,,iPhone,,,,,,,,Verified,,
"9480089","10684138",Tricia Bethke The Morton Arboretum,Detected,Positive,09-18-22,09-18-22,,"Jo Daviess, Illinois, United States","  42.41808"," -90.42819",WGS84,,,,,,<5%,,,,,,,,,,,iPhone,Monitoring,,,,,,,Verified,,
"8628677","9464585",Tricia Bethke The Morton Arboretum,Detected,Positive,07-29-21,07-29-21,,"Madison, Illinois, United States","  38.67935"," -90.01103",WGS84,,,,,,50-75%,,,,,,,,,,,iPhone,Monitoring,,It’s abundant!,,,,,Verified,,
"8628680","9464586",Tricia Bethke The Morton Arboretum,Undetected,Eradicated,07-29-21,07-29-21,,"Madison, Illinois, United States","  38.80031"," -89.95854",WGS84,,,,,,,,,,,,,,,,,iPhone,Monitoring,,Couldn’t locate the tree,,,,,Verified,,
"8558380","9480083",Tricia Bethke The Morton Arboretum,Detected,Positive,08-09-21,08-09-21,,"Jo Daviess, Illinois, United States","  42.41657"," -90.42979",WGS84,,,,,,<5%,,,,,,,,,,,iPhone,Monitoring,,,,,,,Verified,,
"8558380","10684134",Tricia Bethke The Morton Arboretum,Detected,Positive,09-18-22,09-18-22,,"Jo Daviess, Illinois, United States","  42.41657"," -90.42979",WGS84,,,,,,<5%,,,,,,,,,,,iPhone,,,,,,,,Verified,,
"8558381","10684131",Tricia Bethke The Morton Arboretum,Detected,Positive,09-18-22,09-18-22,,"Jo Daviess, Illinois, United States","  42.41598"," -90.42978",WGS84,,,417,,,<5%,,,,,,,,,,,iPhone,Monitoring,,,,,,,Verified,,
"8558381","9480090",Tricia Bethke The Morton Arboretum,Detected,Positive,08-09-21,08-09-21,,"Jo Daviess, Illinois, United States","  42.41598"," -90.42978",WGS84,,,417,,,<5%,,,,,,,,,,,iPhone,Monitoring,,,,,,,Verified,,
"8558382","9480085",Tricia Bethke The Morton Arboretum,Detected,Positive,08-09-21,08-09-21,,"Jo Daviess, Illinois, United States","  42.41625"," -90.43036",WGS84,,,212,,,<5%,,,,,,,,,,,iPhone,Monitoring,,,,,,,Verified,,
"8558383","9480082",Tricia Bethke The Morton Arboretum,Detected,Positive,08-09-21,08-09-21,,"Jo Daviess, Illinois, United States","  42.41332"," -90.42797",WGS84,,,,,,<5%,,,,,,,,,,,iPhone,Monitoring,,,,,,,Verified,,
"8558383","10684143",Tricia Bethke The Morton Arboretum,Detected,Positive,09-18-22,09-18-22,,"Jo Daviess, Illinois, United States","  42.41332"," -90.42797",WGS84,,,,,,<5%,,,,,,,,,,,iPhone,Monitoring,,,No SLF. ,,,,Verified,,
"8558384","10684139",Tricia Bethke The Morton Arboretum,Detected,Positive,09-18-22,09-18-22,,"Jo Daviess, Illinois, United States","  42.41627"," -90.43085",WGS84,,,,,,5-25%,,,,,,,,,,,iPhone,Monitoring,,,,,,,Verified,,
"8558384","9480080",Tricia Bethke The Morton Arboretum,Detected,Positive,08-09-21,08-09-21,,"Jo Daviess, Illinois, United States","  42.41627"," -90.43085",WGS84,,,,,,<5%,,,,,,,,,,,iPhone,Monitoring,,,,,,,Verified,,
"8558385","9480087",Tricia Bethke The Morton Arboretum,Detected,Positive,08-09-21,08-09-21,,"Jo Daviess, Illinois, United States","  42.41698"," -90.42978",WGS84,,,0.2,,,<5%,,,,,,,,,,,iPhone,Monitoring,,,Across from Grace episcopal church.,,,,Verified,,
"8558385","10684140",Tricia Bethke The Morton Arboretum,Detected,Positive,09-18-22,09-18-22,,"Jo Daviess, Illinois, United States","  42.41698"," -90.42978",WGS84,,,0.2,,,<5%,,,,,,,,,,,iPhone,,,,,,,,Verified,,
"8558386","10684137",Tricia Bethke The Morton Arboretum,Detected,Positive,09-18-22,09-18-22,,"Jo Daviess, Illinois, United States","  42.41742"," -90.42898",WGS84,,,0.1,,,<5%,,,,,,,,,,,iPhone,Monitoring,,,,,,,Verified,,
"8558386","9480086",Tricia Bethke The Morton Arboretum,Detected,Positive,08-09-21,08-09-21,,"Jo Daviess, Illinois, United States","  42.41742"," -90.42898",WGS84,,,0.1,,,<5%,,,,,,,,,,,iPhone,Monitoring,,,,,,,Verified,,
"8559014","10684142",Tricia Bethke The Morton Arboretum,Detected,Positive,09-18-22,09-18-22,,"Jo Daviess, Illinois, United States","  42.41368"," -90.43006",WGS84,,,,,,<5%,,,,,,,,,,,iPhone,Monitoring,,,,,,,Verified,,
"8559014","9480081",Tricia Bethke The Morton Arboretum,Detected,Positive,08-09-21,08-09-21,,"Jo Daviess, Illinois, United States","  42.41368"," -90.43006",WGS84,,,,,,<5%,,,,,,,,,,,iPhone,Monitoring,,,,,,,Verified,,
"8628472","10684132",Tricia Bethke The Morton Arboretum,Detected,Positive,09-18-22,09-18-22,,"Jo Daviess, Illinois, United States","  42.41712"," -90.42801",WGS84,,,,,,<5%,,,,,,,,,,,iPhone,Monitoring,,,,,,,Verified,,
"8628472","10684133",Tricia Bethke The Morton Arboretum,Detected,Positive,09-18-22,09-18-22,,"Jo Daviess, Illinois, United States","  42.41712"," -90.42801",WGS84,,,,,,,,,,,,,,,,,iPhone,,,,,,,,Verified,,
"8628472","9480084",Tricia Bethke The Morton Arboretum,Undetected,Eradicated,08-09-21,08-09-21,,"Jo Daviess, Illinois, United States","  42.41712"," -90.42801",WGS84,,,,,,,,,,,,,,,,,iPhone,Monitoring,,,,,,,Verified,,
"8628477","9464590",Tricia Bethke The Morton Arboretum,Detected,Positive,07-29-21,07-29-21,,"St. Clair, Illinois, United States","  38.63202"," -90.01073",WGS84,,,,,,5-25%,,,,,,,,,,,iPhone,Monitoring,,,On private property ,,,,Verified,,
"8774170","9480079",Tricia Bethke The Morton Arboretum,Undetected,Eradicated,08-09-21,08-09-21,,"Jo Daviess, Illinois, United States","  42.45040"," -90.05192",WGS84,,,,,,<5%,,,,,,,,,,,iPhone,Monitoring,,Mia-identified ,,,,,Verified,,
"8659610","9426640",Christina Basch Minnesota Department of Transportation,Detected,Positive,05-19-21,05-20-21,,"Houston, Minnesota, United States","  43.69403"," -91.27412",WGS84,,,,,,,,,,,,,,,,,Android,Monitoring,,,No living tissue found ,,,,Not Verified,,
"8659610","9550056",Christina Basch Minnesota Department of Transportation,Detected,Treated,09-28-21,10-07-21,10-07-21,"Houston, Minnesota, United States","  43.69398"," -91.27413",WGS84,,,0.05,,,<5%,,,,,,,,,,,Android,Treatment,,,,,,,Verified,,
"8659610","11447045",Christina Basch Minnesota Department of Transportation,Undetected,Eradicated,07-11-23,07-11-23,,"Houston, Minnesota, United States","  43.69398"," -91.27413",WGS84,,,0.05,,,0%,,,,,,,,,,,Android,Monitoring/Evaluation,,,"No resprouts, all standing vegetation is rotting ",,,,Verified,,
"10474809","10600817",EDDMapS Website Reporter,Detected,Treated,06-30-22,07-01-22,,"Wake, North Carolina, United States","  35.81564"," -78.84266",WGS84,,,,,,,,,,,,,Treated,,Human Observation,,Web Report,Monitoring,,,,,,,Not Verified,,
"8551658","10613499",Amanda Lasley NC STATE PARKS,Detected,Treated,07-08-22,07-16-22,,"Burke, North Carolina, United States","  35.61315"," -81.62171",WGS84,,,0,,,<5%,,,,,,,,,,,Android,Treatment,,Cut only.,Two saplings near trail.,,,,Verified,,
"8555426","9619228",Amanda Lasley NC STATE PARKS,Detected,Positive,11-15-21,11-15-21,,"Burke, North Carolina, United States","  35.59862"," -81.60958",WGS84,,,0.7,,,5-25%,,,,,,,,,,,Android,Monitoring,,,Seedling and sapling ToH stand knee to head high scattered both upslope and downslope of trail,,,,Verified,,
"8513469","10669211",Jacob Cerminar USDA,Detected,Positive,09-01-22,09-01-22,,"Will, Illinois, United States","  41.51525"," -88.04192",WGS84,,,0.33,,,5-25%,,,,,,,,,,,iPhone,Monitoring,,,,,,,Verified,,
"8513470","10669210",Jacob Cerminar USDA,Detected,Positive,09-01-22,09-01-22,,"Will, Illinois, United States","  41.51381"," -88.04501",WGS84,,,0.04,,,5-25%,,,,,,,,,,,iPhone,Monitoring,,,,,,,Verified,,
"8564657","10659541",Jacob Cerminar USDA,Detected,Positive,08-23-22,08-23-22,,"DuPage, Illinois, United States","  41.90274"," -87.96909",WGS84,,,0.08,,,5-25%,,,,,,,,,,,iPhone,Monitoring,,,,,,,Verified,,
"8564658","10659544",Jacob Cerminar USDA,Detected,Positive,08-23-22,08-23-22,,"DuPage, Illinois, United States","  41.89084"," -87.96988",WGS84,,,0.23,,,,,,,,,,,,,,iPhone,Monitoring,,,,,,,Verified,,
"8628461","10659539",Jacob Cerminar USDA,Detected,Positive,08-23-22,08-23-22,,"DuPage, Illinois, United States","  41.88641"," -87.96066",WGS84,,,,,,,,,,,,,,,,,iPhone,,,,,,,,Verified,,
"8628495","10669212",Jacob Cerminar USDA,Detected,Positive,08-31-22,09-01-22,,"Cook, Illinois, United States","  41.71322"," -87.91114",WGS84,,,,,,,,,,,,,,,,,iPhone,,,,,,,,Verified,,
"8628514","10659538",Jacob Cerminar USDA,Detected,Positive,08-23-22,08-23-22,,"DuPage, Illinois, United States","  41.88842"," -87.98379",WGS84,,,,,,,,,,,,,,,,,iPhone,Monitoring,,,,,,,Verified,,
"8501205","10669201",Jacob Cerminar USDA,Detected,Positive,09-01-22,09-01-22,,"DuPage, Illinois, United States","  41.78949"," -88.13048",WGS84,,,5.3,,,<5%,,,,,,,,,,,iPhone,Monitoring,,,,,,,Verified,,
"8558387","10659542",Jacob Cerminar USDA,Detected,Positive,08-23-22,08-23-22,,"Cook, Illinois, United States","  41.90816"," -87.91586",WGS84,,,1.04,,,,,,,,,,,,,,iPhone,Monitoring,,,,,,,Verified,,
"8558389","10659540",Jacob Cerminar USDA,Detected,Positive,08-23-22,08-23-22,,"DuPage, Illinois, United States","  41.88594"," -88.02419",WGS84,,,0.01,,,,,,,,,,,,,,iPhone,Monitoring,,,,,,,Verified,,
"8558432","10659750",Jacob Cerminar USDA,Detected,Positive,08-23-22,08-23-22,,"DuPage, Illinois, United States","  41.96151"," -87.94307",WGS84,,,0.02,,,,,,,,,,,,,,iPhone,Monitoring,,,,,,,Verified,,
"8558433","10668782",Jacob Cerminar USDA,Detected,Positive,08-26-22,08-31-22,,"DuPage, Illinois, United States","  41.97368"," -87.94030",WGS84,,,0.01,,,,,,,,,,,,,,iPhone,Monitoring,,,,,,,Verified,,
"8628641","10659534",Jacob Cerminar USDA,Detected,Positive,08-23-22,08-23-22,,"Cook, Illinois, United States","  41.89394"," -87.83075",WGS84,,,,,,,,,,,,,,,,,iPhone,Monitoring,,,,,,,Verified,,
"8628641","10659536",Jacob Cerminar USDA,Detected,Positive,08-23-22,08-23-22,,"Cook, Illinois, United States","  41.89394"," -87.83075",WGS84,,,,,,,,,,,,,,,,,iPhone,Monitoring,,,,,,,Verified,,
"8628564","10659532",Jacob Cerminar USDA,Detected,Positive,08-23-22,08-23-22,,"Cook, Illinois, United States","  41.88920"," -87.91283",WGS84,,,,,,,,,,,,,,,,,iPhone,,,,,,,,Verified,,
"8628592","10659531",Jacob Cerminar USDA,Detected,Positive,08-23-22,08-23-22,,"DuPage, Illinois, United States","  41.88713"," -87.96131",WGS84,,,,,,,,,,,,,,,,,iPhone,Monitoring,,,,,,,Verified,,
"9621617","10661404",Jacob Cerminar USDA,Detected,Positive,08-23-22,08-24-22,,"DuPage, Illinois, United States","  41.88614"," -87.95985",WGS84,,,0,,,5-25%,,,,,,,,,,,iPhone,Monitoring,,,,,,,Verified,,
"9436104","10669203",Jacob Cerminar USDA,Detected,Positive,09-01-22,09-01-22,,"DuPage, Illinois, United States","  41.79623"," -88.07410",WGS84,,,,,,<5%,,,,,,,,,,,iPhone,Monitoring,,,,,,,Verified,,
"9436105","10669206",Jacob Cerminar USDA,Detected,Positive,09-01-22,09-01-22,,"DuPage, Illinois, United States","  41.79759"," -88.07403",WGS84,,,42095,,,5-25%,,,,,,,,,,,iPhone,Monitoring,,,,,,,Verified,,
"9436112","10669202",Jacob Cerminar USDA,Detected,Positive,09-01-22,09-01-22,,"DuPage, Illinois, United States","  41.79623"," -88.07410",WGS84,,,,,,<5%,,,,,,,,,,,iPhone,Monitoring,,,,,,,Verified,,
"9436113","10669208",Jacob Cerminar USDA,Detected,Positive,09-01-22,09-01-22,,"DuPage, Illinois, United States","  41.79759"," -88.07403",WGS84,,,42095,,,5-25%,,,,,,,,,,,iPhone,Monitoring,,,,,,,Verified,,
"9436114","10669205",Jacob Cerminar USDA,Detected,Positive,09-01-22,09-01-22,,"DuPage, Illinois, United States","  41.79693"," -88.07348",WGS84,,,4.44,,,<5%,,,,,,,,,,,iPhone,Monitoring,,,,,,,Verified,,
"9436099","10669204",Jacob Cerminar USDA,Detected,Positive,09-01-22,09-01-22,,"DuPage, Illinois, United States","  41.79693"," -88.07348",WGS84,,,4.44,,,<5%,,,,,,,,,,,iPhone,Monitoring,,,,,,,Verified,,
"9616772","10663109",Sarah Eysenbach Cleveland Metroparks,Undetected,Eradicated,08-24-22,08-25-22,,"Cuyahoga, Ohio, United States","  41.46419"," -81.78114",WGS84,,,,,,<5%,,,,,,,,,Human Observation,,Web Report,Monitoring,,,Large female in backyard and large male over two backyard. Checked for SLF and egg masses negative.,,,,Verified,,
"10633534","10635021",Jeff Kessenich ,Detected,Positive,08-04-22,08-04-22,,"Clark, Washington, United States","  45.64233","-122.65002",WGS84,,,,,,,,,,,,,,,Human Observation,,Web Report,Monitoring,,,I couldn't get a closer image because this is a known drug house - I don't like to draw attention to myself as a neighbor. This weed has shot up quickly this year. I am starting to get *hundreds* of little starters on my front yard close to their property.,,,,Not Verified,,
"10612984","10613407",Jeff Kessenich ,Detected,Positive,07-15-22,07-15-22,,"Clark, Washington, United States","  45.62201","-122.59099",WGS84,,,0,0,Moderate,"20",,,,,,,Unknown,,Human Observation,,Web Report,Monitoring,,,"On my property, several new growths as well.",,,,Verified,,
"10649568","10649642",Jeff Kessenich ,Detected,Positive,08-17-22,08-17-22,,"Clark, Washington, United States","  45.63095","-122.47334",WGS84,,,,,,,,,,,,,,,Human Observation,,Web Report,Monitoring,,,,,,,Not Verified,,
"10774863","11594042",Jeff Kessenich ,Detected,Positive,10-24-23,10-24-23,,"Clark, Washington, United States","  45.64940","-122.68067",WGS84,,,0.01,0.01,,,,,,,,,Unknown,,Human Observation,,Web Report,Monitoring/Evaluation,,,"Spreading, sapling trees. On way to taking over yard",,,,Not Verified,,
"10774863","11479446",Jeff Kessenich ,Detected,Treated,08-06-23,08-06-23,,"Clark, Washington, United States","  45.64940","-122.68067",WGS84,,,0.01,0.01,,,,,,,,,Treated,,Human Observation,,Web Report,Treatment,,,"Spreading, sapling trees. On way to taking over yard",,,,Not Verified,,
"11302324","11462370",Jeff Kessenich ,Detected,Positive,07-24-23,07-24-23,,"Clark, Washington, United States","  45.66378","-122.64666",WGS84,,,0,0,,,,,,,,,Unknown,,Human Observation,,Web Report,Monitoring/Evaluation,,,,,,,Not Verified,,
"11302324","11470793",Jeff Kessenich ,Detected,Treated,07-31-23,07-31-23,,"Clark, Washington, United States","  45.66378","-122.64666",WGS84,,,0,0,,,,,,,,,Treated,,Human Observation,,Web Report,Treatment,,,,,,,Not Verified,,
"11302324","11357960",Jeff Kessenich ,Detected,Treated,05-29-23,05-29-23,,"Clark, Washington, United States","  45.66378","-122.64666",WGS84,,,0,0,,,,,,,,,Treated,,Human Observation,,Web Report,Monitoring,,,,,,,Not Verified,,
"11366286","11555126",Jeff Kessenich ,Detected,Treated,09-29-23,09-29-23,,"Clark, Washington, United States","  45.63119","-122.67134",WGS84,,,,,,,,,,,,,Treated,,Human Observation,,Web Report,Treatment,,,,,,,Verified,,
"11366290","11555124",Jeff Kessenich ,Detected,Treated,09-29-23,09-29-23,,"Clark, Washington, United States","  45.63131","-122.67144",WGS84,,,,,,,,,,,,,Treated,,Human Observation,,Web Report,Treatment,,,,,,,Verified,,
"11376058","11426817",Jeff Kessenich ,Detected,Treated,06-30-23,06-30-23,,"Clark, Washington, United States","  45.65707","-122.64074",WGS84,,,,,,,,,,,,,Treated,,Human Observation,,Web Report,Treatment,,,,,,,Verified,,
"11376058","11453862",Jeff Kessenich ,Undetected,Eradicated,07-16-23,07-16-23,,"Clark, Washington, United States","  45.65707","-122.64074",WGS84,,,,,,,,,,,,,,,Human Observation,,Web Report,Monitoring/Evaluation,,,,,,,Verified,,
